Andrei Rublev;6813;6266;547;92%
Andy Warhol;6859;5886;973;86%
Michelangelo;7010;5920;1090;84%
Leonardo da Vinci;6996;5900;1096;84%
Jackson Pollock;6935;5735;1200;83%
Hieronymus Bosch;6845;5591;1254;82%
Salvador Dali;7016;5658;1358;81%
Frida Kahlo;6799;5524;1275;81%
Sandro Botticelli;6872;5476;1396;80%
Marc Chagall;6838;5449;1389;80%
Claude Monet;6881;5437;1444;79%
Giotto di Bondone;6866;5411;1455;79%
Rembrandt;6778;5343;1435;79%
Amedeo Modigliani;7065;5488;1577;78%
Caravaggio;6926;5389;1537;78%
Albrecht DÃ¼rer;6841;5302;1539;78%
Raphael;6823;5295;1528;78%
El Greco;6874;5295;1579;77%
Pierre-Auguste Renoir;6951;5183;1768;75%
Vasiliy Kandinskiy;6820;5112;1708;75%
Georges Seurat;7005;5151;1854;74%
Alfred Sisley;6858;5070;1788;74%
Kazimir Malevich;6840;5082;1758;74%
Rene Magritte;6802;4958;1844;73%
Pieter Bruegel;6993;5036;1957;72%
Pablo Picasso;6878;4942;1936;72%
Henri de Toulouse-Lautrec;6839;4930;1909;72%
Peter Paul Rubens;6981;4969;2012;71%
Edgar Degas;6967;4931;2036;71%
Titian;6902;4886;2016;71%
Diego Velazquez;6844;4841;2003;71%
Diego Rivera;6838;4886;1952;71%
Henri Matisse;7027;4944;2083;70%
Jan van Eyck;6939;4891;2048;70%
William Turner;6992;4835;2157;69%
Henri Rousseau;6939;4706;2233;68%
Francisco Goya;6826;4641;2185;68%
Gustav Klimt;6803;4596;2207;68%
Vincent van Gogh;6938;4614;2324;67%
Mikhail Vrubel;6895;4650;2245;67%
Edvard Munch;6912;4567;2345;66%
Camille Pissarro;6892;4574;2318;66%
Paul Gauguin;6885;4559;2326;66%
Joan Miro;6854;4441;2413;65%
Paul Klee;6832;4469;2363;65%
Eugene Delacroix;6901;4322;2579;63%
Paul Cezanne;6880;4276;2604;62%
Edouard Manet;6929;4238;2691;61%
Gustave Courbet;6777;3906;2871;58%
Piet Mondrian;6753;3930;2823;58%