Andrei Rublev;934;871;63;93%
Ivan Aivazovsky;931;836;95;90%
Theophanes the Greek;895;809;86;90%
Nicholas Roerich;923;819;104;89%
Ivan Shishkin;895;760;135;85%
Vasiliy Kandinskiy;938;787;151;84%
Kazimir Malevich;898;720;178;80%
Fyodor Rokotov;983;775;208;79%
Isaac Levitan;935;739;196;79%
Arkhip Kuinji;933;708;225;76%
Pavel Filonov;1001;738;263;74%
Vasily Vereshchagin;938;695;243;74%
Mikhail Vrubel;885;650;235;73%
Vladimir Borovikovsky;872;624;248;72%
Zinaida Serebriakova;977;694;283;71%
Dmitry Levitzky;965;688;277;71%
Kuzma Petrov-Vodkin;921;641;280;70%
Aleksandr Deyneka;945;653;292;69%
Ilya Repin;903;625;278;69%
Karl Bryullov;944;637;307;67%
Viktor Vasnetsov;935;624;311;67%
Victor Borisov-Musatov;923;619;304;67%
Orest Kiprensky;936;607;329;65%
Vasily Surikov;904;591;313;65%
Alexandre Benois;851;553;298;65%
Alexei Harlamov;950;611;339;64%
Sergei Vinogradov;918;586;332;64%
Valentin Serov;915;584;331;64%
Vasily Tropinin;916;574;342;63%
Boris Kustodiev;952;590;362;62%
Konstantin Yuon;882;524;358;59%
Nikolai Ge;946;553;393;58%
Alexander Ivanov;954;540;414;57%